datetime,actual,predicted
2018-01-31,37180.125,35596.25
2018-02-01,33615.458333333336,37005.996
2018-02-02,35327.125,31577.613
2018-02-03,35505.5,33840.016
2018-02-04,32805.666666666664,35077.38
2018-02-05,34204.791666666664,35123.02
2018-02-06,35783.833333333336,34698.344
2018-02-07,35824.75,36189.766
2018-02-08,35158.125,35840.83
2018-02-09,35460.125,34749.914
2018-02-10,30496.70833333333,32673.805
2018-02-11,27919.916666666668,28991.04
2018-02-12,30144.791666666664,32259.285
2018-02-13,33038.458333333336,32560.008
2018-02-14,31439.916666666668,34219.09
2018-02-15,29138.375,31614.242
2018-02-16,28378.958333333336,29593.387
2018-02-17,30211.708333333332,26714.145
2018-02-18,28892.04166666667,30564.482
2018-02-19,31447.75,29965.87
2018-02-20,28487.791666666668,33546.453
2018-02-21,27572.5,28421.117
2018-02-22,28859.20833333333,28481.83
2018-02-23,30894.333333333332,29696.893
2018-02-24,27537.0,29306.957
2018-02-25,27246.041666666668,25910.928
2018-02-26,29406.833333333332,30506.799
2018-02-27,29694.041666666668,29937.809
2018-02-28,28915.166666666668,30008.287
2018-03-01,28720.208333333336,29170.336
2018-03-02,30858.083333333336,28950.943
2018-03-03,28436.79166666667,28844.14
2018-03-04,27950.583333333336,27200.383
2018-03-05,31451.458333333332,31304.414
2018-03-06,31596.291666666668,31406.543
2018-03-07,32257.33333333333,31406.703
2018-03-08,31934.20833333333,32319.42
2018-03-09,32586.833333333332,31158.045
2018-03-10,30027.458333333336,29817.566
2018-03-11,28279.458333333332,28917.13
2018-03-12,32489.166666666668,31799.578
2018-03-13,32829.916666666664,32868.52
2018-03-14,33399.083333333336,32892.906
2018-03-15,32337.208333333336,33749.69
2018-03-16,31942.166666666664,31976.693
2018-03-17,30140.833333333332,29248.016
2018-03-18,28018.416666666668,29588.627
2018-03-19,30023.95833333333,31455.545
2018-03-20,33334.666666666664,31341.453
2018-03-21,33738.166666666664,34172.734
2018-03-22,31931.41666666667,33469.96
2018-03-23,30775.958333333332,31693.57
2018-03-24,28216.291666666664,27983.047
2018-03-25,28642.375,27569.697
2018-03-26,30686.70833333333,32477.588
2018-03-27,31483.0,31288.35
2018-03-28,30032.833333333332,31908.883
2018-03-29,27923.29166666667,30238.941
2018-03-30,26191.000000000004,27967.947
2018-03-31,25214.041666666668,24739.605
2018-04-01,24265.0,25345.979
2018-04-02,29014.208333333332,27694.344
2018-04-03,30574.458333333332,30037.842
2018-04-04,28911.08333333333,30622.707
2018-04-05,30203.833333333332,28724.941
2018-04-06,29153.833333333332,30342.59
2018-04-07,26862.499999999996,25859.977
2018-04-08,27447.0,26120.215
2018-04-09,30637.499999999996,30820.451
2018-04-10,29610.291666666664,30827.793
2018-04-11,29411.5,29478.723
2018-04-12,27810.958333333332,29626.918
2018-04-13,26463.54166666667,27343.182
2018-04-14,24966.958333333332,24799.406
2018-04-15,25127.0,24797.43
2018-04-16,28658.625000000004,28433.299
2018-04-17,29924.833333333332,29238.184
2018-04-18,28888.95833333333,30090.316
2018-04-19,28949.958333333332,28666.896
2018-04-20,28522.791666666668,28588.336
2018-04-21,25499.166666666668,25874.086
2018-04-22,23878.875,24856.695
2018-04-23,26121.125,27741.922
2018-04-24,26505.16666666667,27160.986
2018-04-25,26959.958333333332,27241.094
2018-04-26,25847.041666666668,27478.117
2018-04-27,26166.874999999996,25616.836
2018-04-28,23777.708333333332,24516.162
2018-04-29,23541.916666666668,24140.84
2018-04-30,26895.333333333332,27144.408
2018-05-01,26626.916666666668,27456.273
2018-05-02,28349.66666666667,26901.316
2018-05-03,32229.54166666667,28724.55
2018-05-04,32975.291666666664,32155.16
2018-05-05,26163.125,29199.902
2018-05-06,23796.083333333332,24605.21
2018-05-07,26640.54166666667,28231.527
2018-05-08,27005.750000000004,27585.293
2018-05-09,27441.708333333332,27756.992
2018-05-10,27695.833333333332,27849.04
2018-05-11,27865.333333333332,27358.91
2018-05-12,25662.083333333332,25395.936
2018-05-13,24001.5,24922.805
2018-05-14,27317.833333333332,27546.982
2018-05-15,31481.66666666667,28021.814
2018-05-16,29049.833333333332,32086.963
2018-05-17,28035.208333333332,28084.963
2018-05-18,27227.833333333332,27975.535
2018-05-19,24720.291666666668,24668.379
2018-05-20,27146.333333333332,24748.969
2018-05-21,29615.458333333332,30785.82
2018-05-22,28450.000000000004,29535.066
2018-05-23,29923.125,28368.244
2018-05-24,30461.5,30279.092
2018-05-25,31925.541666666664,29627.34
2018-05-26,33316.916666666664,29476.938
2018-05-27,28984.208333333332,33309.11
2018-05-28,25457.458333333332,30547.105
2018-05-29,32802.083333333336,27289.605
2018-05-30,32784.833333333336,34602.445
2018-05-31,31445.0,31955.297
2018-06-01,34767.416666666664,31199.746
2018-06-02,33292.125,34779.766
2018-06-03,26070.291666666668,29792.031
2018-06-04,27152.75,25265.994
2018-06-05,28280.958333333332,31251.018
2018-06-06,27839.0,28912.783
2018-06-07,28615.708333333336,28826.77
2018-06-08,30924.625,29254.094
2018-06-09,30465.583333333332,30257.621
2018-06-10,27027.458333333332,27838.912
2018-06-11,27287.958333333332,26642.598
2018-06-12,27915.083333333332,30067.281
2018-06-13,31366.749999999996,28368.281
2018-06-14,33066.708333333336,32340.889
2018-06-15,30615.04166666667,32743.549
2018-06-16,29337.04166666667,28680.697
2018-06-17,32630.000000000004,27186.475
2018-06-18,39504.041666666664,34171.88
2018-06-19,40480.583333333336,40545.9
2018-06-20,35744.583333333336,38476.207
2018-06-21,35393.166666666664,34502.81
2018-06-22,31334.333333333336,35506.582
2018-06-23,27684.875,28585.324
2018-06-24,31802.708333333336,27499.0
2018-06-25,33504.125,36422.586
2018-06-26,31780.416666666668,33710.344
2018-06-27,31319.75,32308.682
2018-06-28,36902.333333333336,32024.771
2018-06-29,38752.583333333336,38063.02
2018-06-30,38253.916666666664,36943.2
2018-07-01,39791.125,37754.54
2018-07-02,42294.875,40459.973
2018-07-03,43149.916666666664,40996.1
2018-07-04,39646.875,41107.957
2018-07-05,41321.916666666664,38237.805
2018-07-06,39145.25,40446.234
2018-07-07,28926.5,35208.33
2018-07-08,28616.791666666668,27841.918
2018-07-09,34410.166666666664,33728.188
2018-07-10,38316.041666666664,36122.65
2018-07-11,39626.333333333336,38364.617
2018-07-12,36770.458333333336,39033.016
2018-07-13,36047.166666666664,34914.92
2018-07-14,34942.666666666664,33442.18
2018-07-15,34204.083333333336,34864.105
2018-07-16,40389.916666666664,37684.395
2018-07-17,40802.875,40947.566
2018-07-18,36402.458333333336,39497.008
2018-07-19,34624.541666666664,35745.402
2018-07-20,34887.708333333336,34911.92
2018-07-21,29329.749999999996,32331.62
2018-07-22,31062.249999999996,28402.998
2018-07-23,37556.375,36699.547
2018-07-24,38382.875,39561.68
2018-07-25,37062.166666666664,35698.617
2018-07-26,38115.666666666664,36806.98
2018-07-27,38191.5,37922.566
2018-07-28,34495.75,34555.945
2018-07-29,32162.916666666668,33129.453
2018-07-30,32957.416666666664,36232.29
2018-07-31,34539.083333333336,33814.184
2018-08-01,39088.541666666664,36004.348
2018-08-02,39593.041666666664,40134.777
2018-08-03,35486.0,38033.316
